MCODE::Clusters (1),MCODE::Node Status (1),MCODE::Score (1),name,selected,shared name
Cluster 0,Seed,16.04329004,KIF2C,FALSE,KIF2C
Cluster 0,Clustered,15.41052632,RRM2,FALSE,RRM2
Cluster 0,Clustered,12.87619048,NCAPH,FALSE,NCAPH
Cluster 0,Clustered,14.70588235,KIF23,FALSE,KIF23
Cluster 0,Clustered,16.04329004,CDC20,FALSE,CDC20
Cluster 0,Clustered,14.47368421,PLK1,FALSE,PLK1
Cluster 0,Clustered,16.04329004,DLGAP5,FALSE,DLGAP5
Cluster 0,Clustered,16.04329004,CCNB2,FALSE,CCNB2
Cluster 0,Clustered,15.49473684,UBE2C,FALSE,UBE2C
Cluster 0,Clustered,16,HJURP,FALSE,HJURP
Cluster 0,Clustered,16.04329004,BUB1B,FALSE,BUB1B
Cluster 0,Clustered,16.04329004,TOP2A,FALSE,TOP2A
Cluster 0,Clustered,16.04329004,TTK,FALSE,TTK
Cluster 0,Clustered,15.23809524,NEK2,FALSE,NEK2
Cluster 0,Clustered,15.41052632,KIF4A,FALSE,KIF4A
Cluster 0,Clustered,14.29824561,KIF15,FALSE,KIF15
Cluster 0,Clustered,16.04329004,CCNA2,FALSE,CCNA2
Cluster 0,Clustered,16.04329004,TPX2,FALSE,TPX2
Cluster 0,Clustered,16.04329004,NDC80,FALSE,NDC80
Cluster 0,Clustered,15.49473684,PBK,FALSE,PBK
Cluster 0,Clustered,15.49473684,SPAG5,FALSE,SPAG5
Cluster 0,Clustered,16.04329004,AURKB,FALSE,AURKB
Cluster 0,Clustered,15.23809524,BIRC5,FALSE,BIRC5
